Model,Dataset,ModelType,Version,test_loss,test_mae,Budget
RegressionConv,W2_10,conv_2M,version_3,0.19319885969161987,0.34712526202201843,32
RegressionConv,W2_10,conv_2M,version_4,0.15331654250621796,0.33297422528266907,32
RegressionConv,W2_10,conv_2M,version_0,0.013780980370938778,0.0848802700638771,512
RegressionConv,W2_10,conv_2M,version_1,0.009979474358260632,0.07998953014612198,512
RegressionConv,W2_10,conv_2M,version_2,0.01656774803996086,0.10792864114046097,512
RegressionConv,W2_10,conv_2M,version_3,0.015606580302119255,0.1034773662686348,512
RegressionConv,W2_10,conv_2M,version_4,0.030378736555576324,0.14526799321174622,512
RegressionConv,W2_10,conv_2M,version_0,0.04098687320947647,0.16048172116279602,64
RegressionConv,W2_10,conv_2M,version_1,0.09494879841804504,0.22586041688919067,64
RegressionConv,W2_10,conv_2M,version_2,0.13696259260177612,0.3192853033542633,64
RegressionConv,W2_10,conv_2M,version_3,0.08520841598510742,0.21232819557189941,64
RegressionConv,W2_10,conv_2M,version_4,0.059342674911022186,0.19027262926101685,64
RegressionConv,W2_10,conv_500K,version_0,0.028865711763501167,0.11782129853963852,128
RegressionConv,W2_10,conv_500K,version_1,0.052794236689805984,0.19137340784072876,128
RegressionConv,W2_10,conv_500K,version_2,0.018169810995459557,0.08228660374879837,128
RegressionConv,W2_10,conv_500K,version_3,0.011628706008195877,0.07343576103448868,128
RegressionConv,W2_10,conv_500K,version_4,0.044808607548475266,0.18778151273727417,128
RegressionConv,W2_10,conv_500K,version_0,0.08208616077899933,0.2446679174900055,256
RegressionConv,W2_10,conv_500K,version_1,0.03903475031256676,0.14561083912849426,256
RegressionConv,W2_10,conv_500K,version_2,0.023035628721117973,0.1271708905696869,256
RegressionConv,W2_10,conv_500K,version_3,0.04467041790485382,0.17477944493293762,256
RegressionConv,W2_10,conv_500K,version_4,0.03398445248603821,0.14716437458992004,256
RegressionConv,W2_10,conv_500K,version_0,0.019444826990365982,0.10791502147912979,32
RegressionConv,W2_10,conv_500K,version_1,0.5423367619514465,0.6582928895950317,32
RegressionConv,W2_10,conv_500K,version_2,0.037193816155195236,0.13107064366340637,32
RegressionConv,W2_10,conv_500K,version_3,0.14628595113754272,0.36187759041786194,32
RegressionConv,W2_10,conv_500K,version_4,0.16044433414936066,0.37752124667167664,32
RegressionConv,W2_10,conv_500K,version_0,0.00814693234860897,0.07670798152685165,512
RegressionConv,W2_10,conv_500K,version_1,0.005817223805934191,0.05781431123614311,512
RegressionConv,W2_10,conv_500K,version_2,0.013649851083755493,0.09587586671113968,512
RegressionConv,W2_10,conv_500K,version_3,0.03229111433029175,0.14241674542427063,512
RegressionConv,W2_10,conv_500K,version_4,0.013987313024699688,0.09309231489896774,512
RegressionConv,W2_10,conv_500K,version_0,0.1038944199681282,0.27125367522239685,64
RegressionConv,W2_10,conv_500K,version_1,0.1096501499414444,0.2780642509460449,64
RegressionConv,W2_10,conv_500K,version_2,0.058861080557107925,0.20875850319862366,64
RegressionConv,W2_10,conv_500K,version_3,0.2588489055633545,0.4220929443836212,64
RegressionConv,W2_10,conv_500K,version_4,0.025934260338544846,0.13073378801345825,64
RegressionConv,W2_16,conv_100K,version_0,0.07414504885673523,0.23305873572826385,128
RegressionConv,W2_16,conv_100K,version_1,0.1616573929786682,0.3687765896320343,128
RegressionConv,W2_16,conv_100K,version_2,0.07569892704486847,0.23962046205997467,128
RegressionConv,W2_16,conv_100K,version_3,0.03799334540963173,0.13974611461162567,128
RegressionConv,W2_16,conv_100K,version_4,0.11625543236732483,0.26272305846214294,128
RegressionConv,W2_16,conv_100K,version_0,0.016526738181710243,0.10912531614303589,256
RegressionConv,W2_16,conv_100K,version_1,0.022510768845677376,0.11770045757293701,256
RegressionConv,W2_16,conv_100K,version_2,0.055549100041389465,0.18264107406139374,256
RegressionConv,W2_16,conv_100K,version_3,0.012716683559119701,0.07338511943817139,256
RegressionConv,W2_16,conv_100K,version_4,0.0597759447991848,0.1749059408903122,256
RegressionConv,W2_16,conv_100K,version_0,0.6191925406455994,0.7318826913833618,32
RegressionConv,W2_16,conv_100K,version_1,0.1856476366519928,0.37231358885765076,32
RegressionConv,W2_16,conv_100K,version_2,0.16315297782421112,0.2840653955936432,32
RegressionConv,W2_16,conv_100K,version_3,0.08275797218084335,0.23065365850925446,32
RegressionConv,W2_16,conv_100K,version_4,0.7634825110435486,0.8070049285888672,32
RegressionConv,W2_16,conv_100K,version_0,0.01124799344688654,0.09189239144325256,512
RegressionConv,W2_16,conv_100K,version_1,0.016482098028063774,0.10489484667778015,512
RegressionConv,W2_16,conv_100K,version_2,0.01575363613665104,0.10814359784126282,512
RegressionConv,W2_16,conv_100K,version_3,0.009297693148255348,0.0760020762681961,512
RegressionConv,W2_16,conv_100K,version_4,0.02472064271569252,0.11300067603588104,512
RegressionConv,W2_16,conv_100K,version_0,0.037779904901981354,0.1489086002111435,64
RegressionConv,W2_16,conv_100K,version_1,0.13530510663986206,0.3042207658290863,64
RegressionConv,W2_16,conv_100K,version_2,0.10128242522478104,0.24728967249393463,64
RegressionConv,W2_16,conv_100K,version_3,0.17749916017055511,0.39075931906700134,64
RegressionConv,W2_16,conv_100K,version_4,0.33541393280029297,0.4343207776546478,64
RegressionConv,W2_16,conv_2M,version_0,0.09993445873260498,0.26520904898643494,128
RegressionConv,W2_16,conv_2M,version_1,0.06771985441446304,0.19020269811153412,128
RegressionConv,W2_16,conv_2M,version_2,0.20698943734169006,0.42130956053733826,128
RegressionConv,W2_16,conv_2M,version_3,0.27789726853370667,0.4778840243816376,128
RegressionConv,W2_16,conv_2M,version_4,0.11169025301933289,0.30420002341270447,128
RegressionConv,W2_16,conv_2M,version_0,0.006584234070032835,0.059263765811920166,256
RegressionConv,W2_16,conv_2M,version_1,0.010421865619719028,0.09080344438552856,256
RegressionConv,W2_16,conv_2M,version_2,0.0038796309381723404,0.04796043783426285,256
RegressionConv,W2_16,conv_2M,version_3,0.03056269697844982,0.16744334995746613,256
RegressionConv,W2_16,conv_2M,version_4,0.030820690095424652,0.15361736714839935,256
RegressionConv,W2_16,conv_2M,version_0,31.759109497070312,4.858813762664795,32
RegressionConv,W2_16,conv_2M,version_1,34.07662582397461,5.027428150177002,32
RegressionConv,W2_16,conv_2M,version_2,31.935163497924805,4.865348815917969,32
RegressionConv,W2_16,conv_2M,version_3,32.691104888916016,4.920993328094482,32
RegressionConv,W2_16,conv_2M,version_4,33.9951286315918,5.021944046020508,32
RegressionConv,W2_16,conv_2M,version_0,0.014604965224862099,0.11170369386672974,512
RegressionConv,W2_16,conv_2M,version_1,0.0061974250711500645,0.0716603547334671,512
RegressionConv,W2_16,conv_2M,version_2,0.007021851371973753,0.07313330471515656,512
RegressionConv,W2_16,conv_2M,version_3,0.00789597723633051,0.07561403512954712,512
RegressionConv,W2_16,conv_2M,version_4,0.010065848007798195,0.0800495594739914,512
RegressionConv,W2_16,conv_2M,version_0,11.143959045410156,2.896191120147705,64
RegressionConv,W2_16,conv_2M,version_1,2.7180538177490234,1.4236335754394531,64
RegressionConv,W2_16,conv_2M,version_2,10.362624168395996,2.778320789337158,64
RegressionConv,W2_16,conv_2M,version_3,7.305810928344727,2.341663360595703,64
RegressionConv,W2_16,conv_2M,version_4,3.442378044128418,1.6057143211364746,64
RegressionConv,W2_16,conv_500K,version_0,0.04919879138469696,0.15703259408473969,128
