,Model,Dataset,Version,test_mse,test_mae
165,vit_1M,W1_16,0,0.034,0.1451
166,vit_1M,W1_16,1,0.0293,0.1385
167,vit_1M,W1_16,2,0.0363,0.1508
168,vit_1M,W1_16,3,0.027,0.1293
169,vit_1M,W1_16,4,0.0283,0.1343
170,vit_500K,W1_16,0,0.0229,0.1204
171,vit_500K,W1_16,1,0.0196,0.1108
172,vit_500K,W1_16,2,0.0246,0.1249
173,vit_500K,W1_16,3,0.0211,0.1164
174,vit_500K,W1_16,4,0.0247,0.1241
175,vit_5M,W1_16,0,0.0208,0.1154
176,vit_5M,W1_16,1,0.0201,0.1136
177,vit_5M,W1_16,2,0.0202,0.1131
178,vit_5M,W1_16,3,0.0208,0.116
179,vit_5M,W1_16,4,0.0205,0.1138
180,conv_100K,W2_10,0,0.006,0.0626
181,conv_100K,W2_10,1,0.0053,0.0583
182,conv_100K,W2_10,2,0.0085,0.0759
183,conv_100K,W2_10,3,0.0045,0.0533
184,conv_100K,W2_10,4,0.0042,0.0519
185,conv_2M,W2_10,0,0.0114,0.0786
186,conv_2M,W2_10,1,0.0173,0.1088
187,conv_2M,W2_10,2,0.0128,0.0901
188,conv_2M,W2_10,3,0.0085,0.071
189,conv_2M,W2_10,4,0.0053,0.0611
190,conv_500K,W2_10,0,0.0086,0.0762
191,conv_500K,W2_10,1,0.0043,0.0494
192,conv_500K,W2_10,2,0.0191,0.0993
193,conv_500K,W2_10,3,0.0095,0.0794
194,conv_500K,W2_10,4,0.026,0.1329
195,mlp_15M,W2_10,0,0.0041,0.0521
196,mlp_15M,W2_10,1,0.0043,0.0532
197,mlp_15M,W2_10,2,0.0042,0.0533
198,mlp_15M,W2_10,3,0.0029,0.0431
199,mlp_15M,W2_10,4,0.0058,0.061
200,mlp_30M,W2_10,0,0.0043,0.0505
201,mlp_30M,W2_10,1,0.004,0.0513
202,mlp_30M,W2_10,2,0.0028,0.0419
203,mlp_30M,W2_10,3,0.0026,0.041
204,mlp_30M,W2_10,4,0.0046,0.0557
205,vit_15M,W2_10,0,0.0063,0.0628
206,vit_15M,W2_10,1,0.0101,0.0856
207,vit_15M,W2_10,2,0.0064,0.0698
208,vit_15M,W2_10,3,0.0067,0.0703
209,vit_15M,W2_10,4,0.0053,0.0593
210,vit_1M,W2_10,0,0.0043,0.0535
211,vit_1M,W2_10,1,0.0045,0.0562
212,vit_1M,W2_10,2,0.005,0.0581
213,vit_1M,W2_10,3,0.0048,0.0568
214,vit_1M,W2_10,4,0.0047,0.0557
215,vit_500K,W2_10,0,0.0049,0.0577
216,vit_500K,W2_10,1,0.0048,0.0581
217,vit_500K,W2_10,2,0.0047,0.0551
218,vit_500K,W2_10,3,0.0051,0.0584
219,vit_500K,W2_10,4,0.0048,0.0566
220,vit_5M,W2_10,0,0.004,0.0514
221,vit_5M,W2_10,1,0.0036,0.0493
222,vit_5M,W2_10,2,0.0042,0.0536
223,vit_5M,W2_10,3,0.0041,0.0532
224,vit_5M,W2_10,4,0.0048,0.0566
225,conv_100K,W2_16,0,0.0114,0.0757
226,conv_100K,W2_16,1,0.0133,0.1053
227,conv_100K,W2_16,2,0.0133,0.1053
228,conv_100K,W2_16,3,0.0203,0.1311
229,conv_100K,W2_16,4,0.0227,0.1121
230,conv_2M,W2_16,0,0.0047,0.051
231,conv_2M,W2_16,1,0.002,0.0334
232,conv_2M,W2_16,2,0.0019,0.0341
233,conv_2M,W2_16,3,0.0039,0.0475
234,conv_2M,W2_16,4,0.0023,0.0305
235,conv_500K,W2_16,0,0.0092,0.0743
236,conv_500K,W2_16,1,0.007,0.0646
237,conv_500K,W2_16,2,0.0045,0.051
238,conv_500K,W2_16,3,0.0078,0.0655
239,conv_500K,W2_16,4,0.0095,0.072
240,mlp_15M,W2_16,0,0.0011,0.0273
241,mlp_15M,W2_16,1,0.0006,0.0197
242,mlp_15M,W2_16,2,0.0007,0.0213
243,mlp_15M,W2_16,3,0.0005,0.0185
244,mlp_15M,W2_16,4,0.0015,0.0337
245,mlp_30M,W2_16,0,0.0005,0.0173
246,mlp_30M,W2_16,1,0.0007,0.0211
247,mlp_30M,W2_16,2,0.0008,0.0237
248,mlp_30M,W2_16,3,0.0007,0.0219
249,mlp_30M,W2_16,4,0.0004,0.0169
250,vit_15M,W2_16,0,0.0009,0.0246
251,vit_15M,W2_16,1,0.0013,0.0312
252,vit_15M,W2_16,2,0.0016,0.0343
253,vit_15M,W2_16,3,0.0012,0.0293
254,vit_15M,W2_16,4,0.0013,0.0296
255,vit_1M,W2_16,0,0.0034,0.048
256,vit_1M,W2_16,1,0.0015,0.0307
257,vit_1M,W2_16,2,0.0029,0.044
258,vit_1M,W2_16,3,0.0038,0.0498
259,vit_1M,W2_16,4,0.0026,0.041
260,vit_500K,W2_16,0,0.0027,0.0423
261,vit_500K,W2_16,1,0.0036,0.05
262,vit_500K,W2_16,2,0.0031,0.0454
263,vit_500K,W2_16,3,0.003,0.0451
264,vit_500K,W2_16,4,0.0034,0.0495
265,vit_5M,W2_16,0,0.0019,0.0383
266,vit_5M,W2_16,1,0.0019,0.0389
267,vit_5M,W2_16,2,0.0019,0.0378
268,vit_5M,W2_16,3,0.0019,0.0373
269,vit_5M,W2_16,4,0.0017,0.0364
