,Model,Budget,Dataset,Version,test_mse,test_mae
284,conv_500K,256,W1_16,4,0.1605,0.3171
285,conv_500K,32,W1_16,0,0.574,0.6081
286,conv_500K,32,W1_16,1,0.9348,0.7633
287,conv_500K,32,W1_16,2,0.9268,0.7717
288,conv_500K,32,W1_16,3,0.9801,0.8125
289,conv_500K,32,W1_16,4,1.8454,1.1084
290,conv_500K,512,W1_16,0,0.0885,0.2155
291,conv_500K,512,W1_16,1,0.0846,0.228
292,conv_500K,512,W1_16,2,0.1409,0.2775
293,conv_500K,512,W1_16,3,0.1776,0.3163
294,conv_500K,512,W1_16,4,0.0573,0.1871
295,conv_500K,64,W1_16,0,1.4009,0.9925
296,conv_500K,64,W1_16,1,0.3768,0.4955
297,conv_500K,64,W1_16,2,0.5456,0.5964
298,conv_500K,64,W1_16,3,0.731,0.703
299,conv_500K,64,W1_16,4,0.3748,0.4783
300,mlp_15M,128,W1_16,0,0.1113,0.2882
301,mlp_15M,128,W1_16,1,0.2368,0.4185
302,mlp_15M,128,W1_16,2,0.1054,0.2772
303,mlp_15M,128,W1_16,3,0.2652,0.4253
304,mlp_15M,128,W1_16,4,0.1734,0.3486
305,mlp_15M,256,W1_16,0,0.0533,0.1872
306,mlp_15M,256,W1_16,1,0.0413,0.1651
307,mlp_15M,256,W1_16,2,0.0681,0.2227
308,mlp_15M,256,W1_16,3,0.0461,0.178
309,mlp_15M,256,W1_16,4,0.0624,0.2079
310,mlp_15M,32,W1_16,0,0.2654,0.429
311,mlp_15M,32,W1_16,1,0.4382,0.5683
312,mlp_15M,32,W1_16,2,0.3403,0.4873
313,mlp_15M,32,W1_16,3,0.9779,0.8205
314,mlp_15M,32,W1_16,4,0.6243,0.6473
315,mlp_15M,512,W1_16,0,0.0203,0.1164
316,mlp_15M,512,W1_16,1,0.0243,0.1255
317,mlp_15M,512,W1_16,2,0.027,0.1308
318,mlp_15M,512,W1_16,3,0.0236,0.1238
319,mlp_15M,512,W1_16,4,0.0219,0.1196
320,mlp_15M,64,W1_16,0,0.8552,0.7456
321,mlp_15M,64,W1_16,1,0.2779,0.4351
322,mlp_15M,64,W1_16,2,0.2061,0.3695
323,mlp_15M,64,W1_16,3,0.3079,0.4173
324,mlp_15M,64,W1_16,4,0.7536,0.624
325,mlp_30M,128,W1_16,0,0.2425,0.4144
326,mlp_30M,128,W1_16,1,0.2586,0.4093
